EOG0915041Q	utg000002l	2537253	2547463
EOG0915041Q	utg000026l	1779177	1789404
EOG091504TL	utg000010l	3330973	3342566
EOG0915041U	utg000026l	4992029	5003254
EOG0915090S	utg000027l	1396731	1407196
EOG091506X3	utg000002l	5079286	5090114
EOG091506X6	utg000026l	8509209	8520174
EOG0915041C	utg000011l	3503694	3514056
EOG0915096U	utg000026l	7769257	7779609
EOG0915041G	utg000062l	156009	166729
EOG091504TW	utg000002l	12296008	12306930
EOG0915096Y	utg000026l	7423020	7433754
EOG091504TT	utg000026l	10753081	10767056
EOG09150AWW	utg000010l	851919	862720
EOG0915041M	utg000011l	3123548	3134650
EOG0915096E	utg000053l	1401912	1413004
EOG091505DS	utg000132l	116924	127893
EOG091505DZ	utg000031l	1868283	1879256
EOG091505DF	utg000029l	4024174	4036118
EOG091505DG	utg000003l	8474657	8485820
EOG0915089B	utg000026l	2129918	2157982
EOG091505DM	utg000002l	2588135	2599151
EOG0915089I	utg000026l	11428130	11438907
EOG091505D6	utg000003l	7267259	7278309
EOG09150410	utg000001l	5865400	5877205
EOG09150413	utg000043l	4217884	4230842
EOG09150415	utg000029l	3614344	3624728
EOG09150418	utg000002l	7379640	7390754
EOG0915056B	utg000003l	1889639	1900830
EOG091506XI	utg000003l	779806	790344
EOG091506XJ	utg000071l	31601	42620
EOG091506XJ	utg000026l	956813	967522
EOG091506XM	utg000003l	4520450	4531330
EOG091504T8	utg000026l	9645601	9657487
EOG09150968	utg000002l	1852325	1862579
EOG09150AW2	utg000052l	708508	719144
EOG0915056V	utg000002l	6443193	6453949
EOG0915056V	utg000035l	544271	554913
EOG09150AW7	utg000021l	510948	521685
EOG0915056Q	utg000026l	10143755	10155730
EOG091501ZX	utg000003l	8244213	8257905
EOG091503ZI	utg000031l	1933455	1946132
EOG091501ZT	utg000027l	59618	71408
EOG091503ZD	utg000027l	2479202	2490469
EOG091501ZQ	utg000001l	7763384	7775050
EOG091505JW	utg000051l	1102680	1113141
EOG091505JL	utg000002l	4732182	4744245
EOG091501ZI	utg000001l	6827346	6840490
EOG091501ZJ	utg000022l	23083	33619
EOG091503ZY	utg000051l	286922	298905
EOG09150CB0	utg000076l	203434	213622
EOG09150AI7	utg000003l	7271068	7281700
EOG091505JE	utg000004l	1863072	1874223
EOG09150567	utg000002l	3949273	3960244
EOG09150BTP	utg000026l	4982395	4992559
EOG091509RP	utg000001l	7228749	7239312
EOG09150D2K	utg000002l	9774146	9784745
EOG091509RL	utg000028l	2079417	2090253
EOG09150A3V	utg000021l	514154	524243
EOG091509RK	utg000144l	4359	15130
EOG091509RK	utg000064l	10840	21560
EOG09150C11	utg000003l	4295877	4306174
EOG09150C11	utg000010l	1172030	1182280
EOG09150C1O	utg000026l	4808997	4819353
EOG09150C1N	utg000002l	1946760	1957305
EOG09150C1M	utg000026l	2657190	2667552
EOG09150C1M	utg000002l	1946955	1957212
EOG091509R0	utg000027l	656483	667436
EOG09150FQB	utg000032l	3070140	3080355
EOG09150FQB	utg000003l	8336928	8347114
EOG09150FQB	utg000002l	357867	368057
EOG09150C1Q	utg000026l	6641939	6652421
EOG09150B2X	utg000044l	630980	641888
EOG09150B2B	utg000002l	12708574	12718831
EOG09150EK5	utg000003l	4663738	4674005
EOG091508FM	utg000002l	8684036	8694532
EOG091508FN	utg000051l	366323	377423
EOG09150E5O	utg000002l	3298225	3308353
EOG091508FJ	utg000011l	871772	882550
EOG09150DAT	utg000052l	98047	108381
EOG09150DAA	utg000003l	5859454	5869928
EOG091501H5	utg000008l	322971	335461
EOG091501H2	utg000032l	4969283	4988527
EOG09150FNR	utg000001l	7779934	7790056
EOG09150IMV	utg000001l	4300784	4310852
EOG091505X9	utg000026l	8772257	8783302
EOG0915089E	utg000042l	232521	243166
EOG0915036R	utg000003l	7339340	7349594
EOG0915036S	utg000026l	10802932	10813814
EOG09150HDI	utg000002l	13797787	13808100
EOG0915036U	utg000067l	178297	188845
EOG0915036K	utg000043l	4232622	4244757
EOG0915036A	utg000053l	1087413	1098566
EOG0915036F	utg000026l	4691732	4703268
EOG091503DP	utg000001l	4090539	4102218
EOG091503DS	utg000001l	6216314	6226586
EOG091503DX	utg000014l	2330323	2341806
EOG091503DX	utg000026l	1778962	1789460
EOG091503DX	utg000003l	2882546	2893225
EOG091503DY	utg000032l	3791844	3803399
EOG091503DZ	utg000034l	2559115	2570413
EOG091509JF	utg000029l	4034916	4045302
EOG091503DA	utg000029l	162335	173193
EOG091503DD	utg000096l	291048	302227
EOG091503DE	utg000002l	1853275	1863622
EOG091503DH	utg000019l	1574237	1586436
EOG091503DL	utg000002l	15201111	15213057
EOG091503DN	utg000032l	6064003	6075320
EOG091505XC	utg000002l	4263260	4273499
EOG0915089O	utg000026l	10130061	10141210
EOG091501HB	utg000026l	990416	1002743
EOG09150DA6	utg000026l	8810163	8820318
EOG091505XE	utg000002l	4410849	4422371
EOG091501HN	utg000002l	3184445	3194729
EOG091501HO	utg000011l	965940	976598
EOG091505XH	utg000032l	1106518	1117336
EOG091501HK	utg000026l	6638157	6651017
EOG091505XM	utg000052l	336883	367902
EOG091501HV	utg000003l	7002528	7014143
EOG091501HW	utg000002l	3684830	3697712
EOG091501HU	utg000014l	3232518	3244546
EOG09150ACI	utg000002l	9298102	9315795
EOG091501HZ	utg000053l	512113	524640
EOG091501HY	utg000001l	4668162	4680920
EOG0915014S	utg000004l	216669	228820
